,SK_ID_CURR,TARGET,C_CNT_CHILDREN,C_AMT_INCOME_TOTAL,C_AMT_CREDIT,C_AMT_ANNUITY,C_AMT_GOODS_PRICE,C_OWN_CAR_AGE,C_TOTALAREA_MODE,D_OCCUPATION_TYPE,D_NAME_CONTRACT_TYPE,D_CODE_GENDER,D_FLAG_OWN_CAR,D_FLAG_OWN_REALTY,D_NAME_INCOME_TYPE,D_NAME_EDUCATION_TYPE,D_NAME_FAMILY_STATUS,D_NAME_HOUSING_TYPE,D_FLAG_PHONE,D_WEEKDAY_APPR_PROCESS_START,D_NAME_TYPE_SUITE,D_HOUSETYPE_MODE,D_WALLSMATERIAL_MODE
0,216875,0,0,31500.0,238500.0,10503.0,238500.0,,0.0119,,Cash loans,M,N,Y,Pensioner,Higher education,Single / not married,House / apartment,0,TUESDAY,Unaccompanied,block of flats,"Stone, brick"
1,129913,0,0,126000.0,382500.0,19125.0,382500.0,,0.0879,Sales staff,Revolving loans,F,N,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,1,SATURDAY,Unaccompanied,block of flats,"Stone, brick"
2,249923,0,2,112500.0,592560.0,31023.0,450000.0,,,Core staff,Cash loans,F,N,N,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,1,THURSDAY,Unaccompanied,,
3,318314,0,0,112500.0,589045.5,26077.5,508500.0,,,Sales staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Single / not married,House / apartment,0,TUESDAY,Unaccompanied,,
4,238253,0,0,157500.0,269550.0,10975.5,225000.0,,0.0113,,Cash loans,F,N,N,Commercial associate,Secondary / secondary special,Married,House / apartment,1,THURSDAY,Unaccompanied,block of flats,"Stone, brick"
5,121643,0,0,176175.0,1042560.0,32863.5,900000.0,,0.0394,Sales staff,Cash loans,M,N,N,Commercial associate,Secondary / secondary special,Single / not married,With parents,1,THURSDAY,Unaccompanied,block of flats,Panel
6,362691,0,1,157500.0,284400.0,22599.0,225000.0,,,,Cash loans,F,N,N,Working,Higher education,Civil marriage,House / apartment,0,TUESDAY,Unaccompanied,,
7,451467,0,1,216000.0,545040.0,20677.5,450000.0,,,Sales staff,Cash loans,F,N,Y,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,FRIDAY,Unaccompanied,,
8,304647,0,1,126000.0,225000.0,17775.0,225000.0,0.0,0.1016,Drivers,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,1,THURSDAY,Unaccompanied,block of flats,"Stone, brick"
9,384265,0,1,135000.0,675000.0,32602.5,675000.0,,0.0786,High skill tech staff,Cash loans,F,N,N,Working,Secondary / secondary special,Married,House / apartment,1,WEDNESDAY,Unaccompanied,,
