Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001671,Male,Yes,2,Not Graduate,Yes,3917,0.0,124.0,360.0,1.0,Urban,N
LP001949,Female,Yes,0,Graduate,Yes,4124,800.0,112.0,360.0,1.0,Urban,Y
LP001098,Male,No,0,Not Graduate,Yes,2000,0.0,0.0,360.0,1.0,Semiurban,Y
LP001904,Female,Yes,0,Graduate,Yes,1811,2223.0,150.0,360.0,1.0,Semiurban,Y
LP002740,Male,No,0,Graduate,Yes,1836,33837.0,90.0,360.0,1.0,Semiurban,Y
LP001541,Male,Yes,1,Graduate,Yes,9538,0.0,187.0,360.0,1.0,Urban,Y
LP001155,Female,Yes,0,Not Graduate,Yes,4100,0.0,124.0,,1.0,Semiurban,Y
LP002941,Male,Yes,1,Not Graduate,Yes,1958,1625.0,100.0,180.0,1.0,Urban,Y
LP001682,Male,No,2,Graduate,Yes,3617,0.0,107.0,360.0,1.0,Semiurban,Y
LP001846,Male,No,0,Graduate,Yes,4095,7210.0,184.0,360.0,1.0,Urban,N
LP002301,Male,No,0,Not Graduate,Yes,2717,1666.0,95.0,180.0,0.0,Rural,N
LP001002,Male,No,0,Graduate,Yes,5849,0.0,132.0,360.0,1.0,Rural,Y
LP001585,Male,Yes,0,Graduate,Yes,5708,0.0,44.0,180.0,1.0,Semiurban,Y
LP002244,Male,Yes,0,Not Graduate,Yes,3010,3136.0,,360.0,1.0,Rural,Y
LP002209,Male,No,1,Not Graduate,Yes,2699,1783.0,113.0,360.0,,Urban,Y
LP001945,Female,No,0,Graduate,Yes,4124,0.0,88.0,360.0,1.0,Urban,Y
LP002693,Male,No,0,Graduate,Yes,2500,0.0,55.0,360.0,1.0,Semiurban,Y
LP002625,,Yes,3+,Graduate,No,2873,1424.0,113.0,360.0,1.0,Semiurban,Y
LP001872,Male,No,0,Graduate,Yes,2060,2209.0,150.0,,1.0,Rural,N
LP001002,Female,No,0,Graduate,Yes,4547,0.0,112.0,360.0,0.0,Semiurban,N
LP002738,Male,No,0,Graduate,Yes,2435,33837.0,90.0,360.0,1.0,Semiurban,Y
LP001546,,Yes,0,Graduate,Yes,3583,3166.0,182.0,,1.0,Semiurban,Y
LP001578,Male,Yes,0,Graduate,Yes,3250,3333.0,182.0,360.0,1.0,Urban,Y
LP001228,Male,No,0,Graduate,Yes,4950,0.0,136.0,360.0,1.0,Urban,Y
LP001900,Male,Yes,1,Graduate,Yes,2750,1842.0,115.0,360.0,1.0,Rural,Y
LP001844,Male,No,0,Not Graduate,Yes,6045,0.0,141.0,180.0,0.0,Urban,N
LP001398,Male,No,0,Graduate,Yes,4133,0.0,122.0,360.0,0.0,Semiurban,N
LP001643,Male,Yes,0,Graduate,Yes,2383,2138.0,74.0,360.0,,Rural,Y
LP002086,Male,No,0,Graduate,Yes,3069,0.0,50.0,360.0,1.0,Semiurban,Y
LP002530,,No,3+,Graduate,No,2873,0.0,66.0,360.0,1.0,Semiurban,Y
LP001334,Male,Yes,0,Graduate,Yes,4652,2250.0,,360.0,1.0,Semiurban,Y
LP001266,Male,Yes,1,Graduate,No,2395,2079.0,88.0,360.0,1.0,Semiurban,Y
LP001343,Male,Yes,2,Graduate,Yes,3800,1881.0,116.0,360.0,1.0,Urban,Y
LP002990,Male,No,0,Not Graduate,Yes,3975,0.0,50.0,360.0,0.0,Semiurban,N
LP001385,Male,Yes,0,Not Graduate,,1820,1041.0,94.0,,0.0,Rural,N
LP001715,Male,Yes,3+,Graduate,Yes,39999,0.0,600.0,360.0,1.0,Semiurban,N
LP002036,Male,Yes,0,Graduate,Yes,2058,1125.0,78.0,360.0,,Semiurban,Y
LP001508,Male,Yes,2,Graduate,Yes,5042,2083.0,151.0,360.0,1.0,Rural,Y
LP001974,Male,Yes,1,Graduate,Yes,2750,1803.0,123.0,480.0,1.0,Urban,Y
